order_id,customer_name,product,amount,year
1001,Priya,Laptop,79299,2021
1002,Maria,Monitor,15314,2021
1003,Ravi,Mouse,578,2021
1004,Meena,Headphones,1260,2021
1005,Rahul,Mouse,847,2021
1006,David,Tablet,13739,2021
1007,Rohan,Monitor,21746,2021
1008,David,Webcam,3478,2021
1009,Rahul,Keyboard,2531,2021
1010,Neha,Printer,8547,2021
1011,Sita,SSD,4174,2021
1012,John,Headphones,1792,2021
1013,Arjun,SSD,6833,2021
1014,Anita,Webcam,5592,2021
1015,Priya,Headphones,1645,2021
1016,Rohan,Printer,16299,2021
1017,Varun,SSD,11959,2021
1018,Sita,Mouse,493,2021
1019,David,Printer,7307,2021
1020,David,Mouse,1178,2021
1021,Maria,Webcam,4188,2021
1022,Kiran,SSD,8320,2021
1023,Sita,Printer,17498,2021
1024,John,Speaker,6701,2021
1025,Kiran,Tablet,28043,2021
1026,Kiran,Webcam,4308,2021
1027,Maria,Tablet,26392,2021
1028,Neha,Laptop,62505,2021
1029,Anita,SSD,9072,2021
1030,Maria,Mouse,832,2021
1031,Meena,SSD,5983,2021
1032,Amit,Headphones,6266,2021
1033,Sneha,Keyboard,1884,2021
1034,Ravi,Monitor,16609,2021
1035,Meena,Headphones,5780,2021
1036,Pooja,SSD,6093,2021
1037,Ravi,Tablet,44343,2021
1038,John,Laptop,83216,2021
1039,Priya,Keyboard,1455,2021
1040,Vikram,Speaker,2020,2021
1041,Pooja,Headphones,5881,2021
1042,Sneha,Tablet,28476,2021
1043,Rohan,Laptop,77291,2021
1044,Priya,Tablet,29486,2021
1045,Neha,Mouse,1001,2021
1046,Vikram,Keyboard,2658,2021
1047,Rahul,Printer,14201,2021
1048,Kiran,Tablet,18973,2021
1049,Alex,Tablet,25035,2021
1050,Ravi,SSD,5146,2021
1051,Rohan,Tablet,12037,2021
1052,Varun,SSD,10505,2021
1053,Rahul,Mouse,1143,2021
1054,Alex,Monitor,9898,2021
1055,David,Speaker,2145,2021
1056,John,Webcam,1766,2021
1057,Rohan,Keyboard,1325,2021
1058,Amit,Tablet,22821,2021
1059,Maria,Tablet,39730,2021
1060,Sita,Tablet,25182,2021
1061,Alex,Headphones,6502,2021
1062,Arjun,Webcam,5439,2021
1063,Sneha,Mouse,907,2021
1064,David,Mouse,1092,2021
1065,Rahul,Speaker,6037,2021
1066,David,Speaker,3304,2021
1067,Rahul,Mouse,520,2021
1068,David,Mouse,464,2021
1069,Neha,Mouse,1452,2021
1070,David,Printer,16960,2021
1071,Amit,Monitor,12335,2021
1072,Meena,Speaker,5372,2021
1073,David,Webcam,4534,2021
1074,Sita,Mouse,598,2021
1075,Vikram,SSD,9439,2021
1076,Vikram,Webcam,1643,2021
1077,Priya,Laptop,68193,2021
1078,Neha,Mouse,909,2021
1079,Sita,Monitor,22700,2021
1080,Ravi,Headphones,2503,2021
1081,Maria,Webcam,3246,2021
1082,John,Webcam,5708,2021
1083,Priya,Laptop,76369,2021
1084,Rohan,Laptop,58056,2021
1085,David,Keyboard,2464,2021
1086,Amit,Webcam,2951,2021
1087,Pooja,Laptop,60394,2021
1088,Pooja,Laptop,67793,2021
